Name;Content;Characters
Les Misérables;Based on Victor Hugo's novel, it follows the lives of several characters in 19th-century France, focusing on themes of justice, love, and redemption.;Jean Valjean, Javert, Cosette, Marius, Eponine.
Hamilton;A hip-hop musical that tells the story of Alexander Hamilton, one of the Founding Fathers of the United States.;Alexander Hamilton, Aaron Burr, Eliza Hamilton, George Washington.
Cats;Based on T.S. Eliot's "Old Possum's Book of Practical Cats," it's a musical about the Jellicle Cats gathering for the Jellicle Ball.;Grizabella, Rum Tum Tugger, Old Deuteronomy.
Wicked;A prequel to "The Wizard of Oz," it explores the untold story of the Wicked Witch of the West and Glinda the Good Witch.;Elphaba, Glinda, Fiyero.
Rent;A modern adaptation of Puccini's opera "La Bohème," focusing on a group of friends dealing with love, friendship, and HIV/AIDS in New York City.;Mark, Roger, Mimi, Maureen, Joanne.
The Lion King;An adaptation of Disney's animated film, it follows the journey of Simba, a young lion, as he grows up and learns about responsibility.;Simba, Nala, Mufasa, Scar, Timon, Pumbaa.
West Side Story;A modern-day Romeo and Juliet set in New York City, exploring the rivalry between two street gangs, the Jets and the Sharks.;Tony, Maria, Anita, Bernardo.
Mamma Mia!;A jukebox musical featuring the music of ABBA, it tells the story of a young woman's quest to discover the identity of her father before her wedding.;Donna, Sophie, Sam, Harry, Bill.
Chicago;A satirical look at fame, justice, and the media set in the Jazz Age, with a focus on two women accused of murder.;Roxie Hart, Velma Kelly, Billy Flynn, Mama Morton.
Hairspray;Set in the 1960s, the musical explores issues of racial segregation and body image as a teenager, Tracy Turnblad, dreams of dancing on a popular TV show.;Tracy Turnblad, Edna Turnblad, Link Larkin, Velma Von Tussle.
Dear Evan Hansen;The musical revolves around Evan Hansen, a high school student with social anxiety, who gets caught in a web of lies after a classmate's death.;Evan Hansen, Connor Murphy, Zoe Murphy, Cynthia Murphy.
The Sound of Music;A classic musical about a young woman, Maria, who becomes a governess for a widowed naval captain's seven children and brings joy and music back into their lives.;Maria, Captain von Trapp, Liesl, Rolf.
A Chorus Line;Set during an audition for a Broadway show, the musical explores the lives and aspirations of the performers, focusing on their individual stories.;Zach, Cassie, Diana Morales, Paul.
Grease;A high-energy musical set in the 1950s, Grease follows the romantic relationship between greaser Danny and good girl Sandy at Rydell High School.;Danny Zuko, Sandy Olsson, Rizzo, Kenickie.
Sweeney Todd: The Demon Barber of Fleet Street;A dark and atmospheric musical about the vengeful barber Sweeney Todd, who seeks revenge against those who wronged him.;Sweeney Todd, Mrs. Lovett, Judge Turpin, Johanna.
Mary Poppins;Based on the books by P.L. Travers, Mary Poppins is a magical and whimsical nanny who brings joy and order to the Banks family in London.;Mary Poppins, Bert, Mr. Banks, Jane Banks, Michael Banks.
Matilda the Musical;Adapted from Roald Dahl's novel, the musical tells the story of Matilda, a precocious girl with telekinetic powers, who stands up to the oppressive adults in her life.;Matilda, Miss Trunchbull, Miss Honey, Mr. Wormwood, Mrs. Wormwood.
Evita;A musical about the rise to power and life of Eva Perón, the wife of Argentine President Juan Perón, and her journey from poverty to fame.;Eva Perón, Che, Juan Perón.
Fiddler on the Roof;Set in the Russian village of Anatevka, the musical explores the challenges faced by Tevye, a Jewish milkman, as he tries to maintain his traditions and family values.;Tevye, Golde, Tzeitel, Motel.
Once;A musical about an Irish street musician and a Czech immigrant who bond over their shared love of music in Dublin.;Guy, Girl.
Cabaret;Set in 1931 Berlin during the rise of the Nazis, the musical takes place in the decadent Kit Kat Klub and follows the lives of its inhabitants.;Sally Bowles, the Emcee, Cliff Bradshaw.
Annie;A heartwarming musical about a young orphan named Annie, who captures the heart of a billionaire and experiences a life of luxury.;Annie, Daddy Warbucks, Miss Hannigan, Grace Farrell.
Into the Woods;A mash-up of several fairy tales, the musical intertwines the stories of familiar characters as they venture into the woods to fulfill their wishes.;The Baker, The Baker's Wife, Cinderella, Little Red Riding Hood, Jack.
Guys and Dolls;Set in the world of New York City gamblers, the musical revolves around the romantic entanglements between high-rolling gambler Sky Masterson and Salvation Army worker Sarah Brown.;Sky Masterson, Sarah Brown, Nathan Detroit, Miss Adelaide.	
